"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-18","0.00",",,r",,,"28",",,r","34",",,r","21",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-19","0.00",",,r",,,"30",",,r","36",",,r","24",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-20","0.00",",,r",,,"33",",,r","40",",,r","28",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-21","0.00","T,,r",,,"37",",,r","46",",,r","28",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-22","0.37",",,r",,,"39",",,r","48",",,r","32",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-23","0.12",",,r",,,"37",",,r","46",",,r","31",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-24","0.18",",,r",,,"31",",,r","34",",,r","29",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-25","0.00","T,,r",,,"33",",,r","37",",,r","30",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-26","0.00",",,r",,,"38",",,r","47",",,r","32",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-27","0.00",",,r",,,"43",",,r","55",",,r","30",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-28","0.02",",,r",,,"49",",,r","59",",,r","40",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-29","0.02",",,r",,,"49",",,r","55",",,r","41",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-30","0.62",",,r",,,"37",",,r","50",",,r","33",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-05-31","0.00",",,r",,,"36",",,r","46",",,r","28",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-01","0.00",",,r",,,"38",",,r","44",",,r","29",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-02","0.00","T,,r",,,"32",",,r","43",",,r","27",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-03","0.00",",,r",,,"39",",,r","50",",,r","30",",,r"
