"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-01",,"0","3","1","8","1","1.4","2.19","63","2578","4.23",,"2.2","34.1","40.9","27.4",,"290",,,"293",,"21.0",,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-02",,"0","7","2","18","6","4.5","0.84","48","3504","2.86",,"9.9","31.9","36.9","27.0","7438","290",,,"293",,"21.9",,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-03",,"4","0","0","15","0","0.0","0.65","78","4126","1.46",,"0.0","45.1","53.9","36.2","13866","270",,,"293",,"23.0",,,"40.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-04",,"8","0","0","35","0","0.0","1.91","82","4445","3.94",,"0.0","54.5","62.5","46.4","10080","50",,,"45",,"25.9",,,"43.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-05",,"132","0","0","41","0","0.0","0.75","94","4538","1.69",,"0.0","66.0","75.7","56.3","15575","300",,,"293",,"19.9",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-06",,"339","0","0","49","0","0.0","0.91","91","4549","1.86",,"0.0","71.5","80.8","62.3","14245","220",,,"293",,"19.9",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-07",,"680","0","0","55","0","0.0","0.97","98","0","5.56",,"0.0","76.0","84.1","67.9","11639","350",,,"180",,"29.1",,,"36.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-08",,"942","0","0","50","0","0.0","1.20","89","11","4.25",,"0.0","73.1","81.1","65.1","16236","300",,,"180",,"21.0",,,"42.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-09",,"1057","0","0","45","0","0.0","0.95","89","41","2.20",,"0.0","67.8","76.0","59.6","10272","310",,,"315",,"17.0",,,"33.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-10",,"1082","0","0","38","0","0.0","0.68","84","284","1.92",,"0.0","58.0","66.0","50.0","12479","50",,,"45",,"25.1",,,"36.7",
